[1] TEMP = 85.00 | Source: EEPROM @ 1970-01-01 00:00:34.869 | Hit Rate: 100.00% | Latency: 568 ms
[2] TEMP = 28.19 | Source: EEPROM @ 1970-01-01 00:02:06.688 | Hit Rate: 100.00% | Latency: 1 ms
[3] TEMP = 28.19 | Source: EEPROM @ 1970-01-01 00:02:07.242 | Hit Rate: 100.00% | Latency: 1 ms
[4] TEMP = 28.19 | Source: EEPROM @ 1970-01-01 00:02:07.800 | Hit Rate: 100.00% | Latency: 1 ms
[5] TEMP = 28.19 | Source: Cache @ 1970-01-01 00:02:08.358 | Hit Rate: 100.00% | Latency: 1 ms
[6] TEMP = 28.13 | Source: EEPROM @ 1970-01-01 00:02:09.479 | Hit Rate: 100.00% | Latency: 568 ms
[7] TEMP = 28.13 | Source: EEPROM @ 1970-01-01 00:02:10.037 | Hit Rate: 100.00% | Latency: 1 ms
[8] TEMP = 28.13 | Source: Cache @ 1970-01-01 00:02:10.596 | Hit Rate: 100.00% | Latency: 0 ms
[9] TEMP = 28.13 | Source: EEPROM @ 1970-01-01 00:02:11.158 | Hit Rate: 100.00% | Latency: 1 ms
[10] TEMP = 28.06 | Source: EEPROM @ 1970-01-01 00:02:12.280 | Hit Rate: 100.00% | Latency: 568 ms
[11] TEMP = 28.06 | Source: EEPROM @ 1970-01-01 00:02:12.837 | Hit Rate: 100.00% | Latency: 0 ms
[12] TEMP = 28.06 | Source: Cache @ 1970-01-01 00:02:13.397 | Hit Rate: 100.00% | Latency: 0 ms
[13] TEMP = 28.06 | Source: EEPROM @ 1970-01-01 00:02:13.959 | Hit Rate: 100.00% | Latency: 1 ms
[14] TEMP = 28.00 | Source: EEPROM @ 1970-01-01 00:02:15.139 | Hit Rate: 100.00% | Latency: 567 ms
[1] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:15.699 | Hit Rate: 100.00% | Latency: 1 ms
[2] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:16.260 | Hit Rate: 100.00% | Latency: 0 ms
[3] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:16.823 | Hit Rate: 100.00% | Latency: 1 ms
[4] MQIV = 2.46 | Source: Cache @ 1970-01-01 00:02:17.946 | Hit Rate: 100.00% | Latency: 566 ms
[5] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:19.074 | Hit Rate: 100.00% | Latency: 568 ms
[6] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:19.637 | Hit Rate: 100.00% | Latency: 1 ms
[7] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:20.203 | Hit Rate: 100.00% | Latency: 1 ms
[8] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:20.766 | Hit Rate: 100.00% | Latency: 0 ms
[9] MQIV = 1.28 | Source: Cache @ 1970-01-01 00:02:21.912 | Hit Rate: 100.00% | Latency: 574 ms
[10] MQIV = 1.84 | Source: Cache @ 1970-01-01 00:02:23.050 | Hit Rate: 100.00% | Latency: 567 ms
[11] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:24.180 | Hit Rate: 100.00% | Latency: 568 ms
[12] MQIV = 1.46 | Source: Cache @ 1970-01-01 00:02:25.312 | Hit Rate: 100.00% | Latency: 568 ms
[1] MQII = 1.89 | Source: Cache @ 1970-01-01 00:02:26.443 | Hit Rate: 100.00% | Latency: 568 ms
[2] MQII = 1.43 | Source: Cache @ 1970-01-01 00:02:27.574 | Hit Rate: 100.00% | Latency: 568 ms
[3] MQII = 1.57 | Source: Cache @ 1970-01-01 00:02:28.765 | Hit Rate: 100.00% | Latency: 567 ms
[4] MQII = 1.43 | Source: Cache @ 1970-01-01 00:02:29.902 | Hit Rate: 100.00% | Latency: 568 ms
[5] MQII = 2.22 | Source: Cache @ 1970-01-01 00:02:31.066 | Hit Rate: 100.00% | Latency: 567 ms
[6] MQII = 0.77 | Source: Cache @ 1970-01-01 00:02:32.179 | Hit Rate: 100.00% | Latency: 567 ms
[7] MQII = 1.57 | Source: Cache @ 1970-01-01 00:02:33.294 | Hit Rate: 100.00% | Latency: 567 ms
[8] MQII = 1.57 | Source: Cache @ 1970-01-01 00:02:33.840 | Hit Rate: 100.00% | Latency: 0 ms
[9] MQII = 1.57 | Source: Cache @ 1970-01-01 00:02:34.392 | Hit Rate: 100.00% | Latency: 1 ms
[10] MQII = 1.57 | Source: Cache @ 1970-01-01 00:02:34.939 | Hit Rate: 100.00% | Latency: 1 ms
[11] MQII = 1.73 | Source: Cache @ 1970-01-01 00:02:36.054 | Hit Rate: 100.00% | Latency: 568 ms
[1] TEMP = 28.38 | Source: EEPROM @ 1970-01-01 00:02:37.173 | Hit Rate: 100.00% | Latency: 568 ms
[2] TEMP = 28.50 | Source: EEPROM @ 1970-01-01 00:02:38.291 | Hit Rate: 100.00% | Latency: 567 ms
[3] TEMP = 28.56 | Source: EEPROM @ 1970-01-01 00:02:39.408 | Hit Rate: 100.00% | Latency: 569 ms
[4] TEMP = 28.63 | Source: EEPROM @ 1970-01-01 00:02:40.531 | Hit Rate: 100.00% | Latency: 569 ms
[5] TEMP = 28.81 | Source: Cache @ 1970-01-01 00:02:41.649 | Hit Rate: 100.00% | Latency: 567 ms
[6] TEMP = 28.88 | Source: EEPROM @ 1970-01-01 00:02:42.770 | Hit Rate: 100.00% | Latency: 567 ms
[7] TEMP = 28.88 | Source: EEPROM @ 1970-01-01 00:02:43.377 | Hit Rate: 100.00% | Latency: 1 ms
[8] TEMP = 29.06 | Source: EEPROM @ 1970-01-01 00:02:44.494 | Hit Rate: 100.00% | Latency: 566 ms
[9] TEMP = 29.13 | Source: EEPROM @ 1970-01-01 00:02:45.613 | Hit Rate: 100.00% | Latency: 568 ms
[10] TEMP = 29.19 | Source: EEPROM @ 1970-01-01 00:02:46.741 | Hit Rate: 100.00% | Latency: 573 ms
[1] MQIV = 2.46 | Source: Cache @ 1970-01-01 00:02:47.870 | Hit Rate: 100.00% | Latency: 568 ms
[2] MQIV = 2.91 | Source: Cache @ 1970-01-01 00:02:48.995 | Hit Rate: 100.00% | Latency: 568 ms
[3] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:50.120 | Hit Rate: 100.00% | Latency: 567 ms
[4] MQIV = 1.84 | Source: Cache @ 1970-01-01 00:02:51.252 | Hit Rate: 100.00% | Latency: 567 ms
[5] MQIV = 2.04 | Source: Cache @ 1970-01-01 00:02:52.376 | Hit Rate: 100.00% | Latency: 566 ms
[6] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:02:53.504 | Hit Rate: 100.00% | Latency: 566 ms
[7] MQIV = 2.04 | Source: Cache @ 1970-01-01 00:02:54.632 | Hit Rate: 100.00% | Latency: 567 ms
[8] MQIV = 2.46 | Source: Cache @ 1970-01-01 00:02:55.755 | Hit Rate: 100.00% | Latency: 566 ms
[9] MQIV = 0.28 | Source: Cache @ 1970-01-01 00:02:56.879 | Hit Rate: 100.00% | Latency: 567 ms
[1] MQII = 1.73 | Source: Cache @ 1970-01-01 00:02:57.439 | Hit Rate: 100.00% | Latency: 0 ms
[2] MQII = 1.73 | Source: Cache @ 1970-01-01 00:02:57.998 | Hit Rate: 100.00% | Latency: 1 ms
[3] MQII = 1.57 | Source: Cache @ 1970-01-01 00:02:59.179 | Hit Rate: 100.00% | Latency: 567 ms
[4] MQII = 1.01 | Source: Cache @ 1970-01-01 00:03:00.311 | Hit Rate: 100.00% | Latency: 567 ms
[5] MQII = 1.57 | Source: Cache @ 1970-01-01 00:03:01.441 | Hit Rate: 100.00% | Latency: 569 ms
[6] MQII = 2.22 | Source: Cache @ 1970-01-01 00:03:02.569 | Hit Rate: 100.00% | Latency: 566 ms
[7] MQII = 0.19 | Source: Cache @ 1970-01-01 00:03:03.699 | Hit Rate: 100.00% | Latency: 567 ms
[8] MQII = 1.73 | Source: Cache @ 1970-01-01 00:03:04.833 | Hit Rate: 100.00% | Latency: 568 ms
[9] MQII = 1.14 | Source: Cache @ 1970-01-01 00:03:05.963 | Hit Rate: 100.00% | Latency: 567 ms
[10] MQII = 1.73 | Source: Cache @ 1970-01-01 00:03:07.096 | Hit Rate: 100.00% | Latency: 568 ms
[1] TEMP = 29.06 | Source: EEPROM @ 1970-01-01 00:03:08.230 | Hit Rate: 100.00% | Latency: 570 ms
[2] TEMP = 29.06 | Source: EEPROM @ 1970-01-01 00:03:08.795 | Hit Rate: 100.00% | Latency: 1 ms
[3] TEMP = 29.06 | Source: Cache @ 1970-01-01 00:03:09.360 | Hit Rate: 100.00% | Latency: 1 ms
[4] TEMP = 29.00 | Source: EEPROM @ 1970-01-01 00:03:10.495 | Hit Rate: 100.00% | Latency: 568 ms
[5] TEMP = 29.00 | Source: EEPROM @ 1970-01-01 00:03:11.067 | Hit Rate: 100.00% | Latency: 1 ms
[6] TEMP = 28.94 | Source: Cache @ 1970-01-01 00:03:12.208 | Hit Rate: 100.00% | Latency: 574 ms
[7] TEMP = 28.94 | Source: EEPROM @ 1970-01-01 00:03:12.812 | Hit Rate: 100.00% | Latency: 1 ms
[8] TEMP = 28.94 | Source: Cache @ 1970-01-01 00:03:13.409 | Hit Rate: 100.00% | Latency: 0 ms
[9] TEMP = 28.88 | Source: EEPROM @ 1970-01-01 00:03:14.527 | Hit Rate: 100.00% | Latency: 568 ms
[10] TEMP = 28.88 | Source: EEPROM @ 1970-01-01 00:03:15.079 | Hit Rate: 100.00% | Latency: 1 ms
[11] TEMP = 28.81 | Source: EEPROM @ 1970-01-01 00:03:16.198 | Hit Rate: 100.00% | Latency: 568 ms
[12] TEMP = 28.81 | Source: EEPROM @ 1970-01-01 00:03:16.745 | Hit Rate: 100.00% | Latency: 1 ms
[13] TEMP = 28.81 | Source: Cache @ 1970-01-01 00:03:17.294 | Hit Rate: 100.00% | Latency: 1 ms
[1] MQIV = 2.04 | Source: Cache @ 1970-01-01 00:03:18.416 | Hit Rate: 100.00% | Latency: 570 ms
[2] MQIV = 2.46 | Source: Cache @ 1970-01-01 00:03:19.536 | Hit Rate: 100.00% | Latency: 568 ms
[3] MQIV = 2.25 | Source: Cache @ 1970-01-01 00:03:20.653 | Hit Rate: 100.00% | Latency: 567 ms
[4] MQIV = 0.95 | Source: Cache @ 1970-01-01 00:03:21.777 | Hit Rate: 100.00% | Latency: 567 ms
[5] MQIV = 1.84 | Source: Cache @ 1970-01-01 00:03:22.896 | Hit Rate: 100.00% | Latency: 567 ms
[6] MQIV = 1.46 | Source: Cache @ 1970-01-01 00:03:24.015 | Hit Rate: 100.00% | Latency: 567 ms
[7] MQIV = 1.64 | Source: Cache @ 1970-01-01 00:03:25.142 | Hit Rate: 100.00% | Latency: 568 ms
[8] MQIV = 2.46 | Source: Cache @ 1970-01-01 00:03:26.262 | Hit Rate: 100.00% | Latency: 567 ms
[9] MQIV = 3.38 | Source: Cache @ 1970-01-01 00:03:27.386 | Hit Rate: 100.00% | Latency: 566 ms
[1] MQII = 1.28 | Source: Cache @ 1970-01-01 00:03:28.561 | Hit Rate: 100.00% | Latency: 567 ms
[2] MQII = 0.65 | Source: Cache @ 1970-01-01 00:03:29.684 | Hit Rate: 100.00% | Latency: 566 ms
[3] MQII = 1.43 | Source: Cache @ 1970-01-01 00:03:30.810 | Hit Rate: 100.00% | Latency: 567 ms
[4] MQII = 1.14 | Source: Cache @ 1970-01-01 00:03:31.932 | Hit Rate: 100.00% | Latency: 568 ms
[5] MQII = 1.73 | Source: Cache @ 1970-01-01 00:03:33.056 | Hit Rate: 100.00% | Latency: 568 ms
[6] MQII = 1.14 | Source: Cache @ 1970-01-01 00:03:34.178 | Hit Rate: 100.00% | Latency: 568 ms
[7] MQII = 1.73 | Source: Cache @ 1970-01-01 00:03:35.300 | Hit Rate: 100.00% | Latency: 567 ms
[8] MQII = 1.73 | Source: Cache @ 1970-01-01 00:03:35.857 | Hit Rate: 100.00% | Latency: 0 ms
[9] MQII = 1.73 | Source: Cache @ 1970-01-01 00:03:36.413 | Hit Rate: 100.00% | Latency: 1 ms
[10] MQII = 1.43 | Source: Cache @ 1970-01-01 00:03:37.550 | Hit Rate: 100.00% | Latency: 573 ms
[11] TEMP = 28.25 | Source: EEPROM @ 1970-01-01 00:03:38.769 | Hit Rate: 100.00% | Latency: 567 ms
[12] TEMP = 28.25 | Source: Cache @ 1970-01-01 00:03:39.331 | Hit Rate: 100.00% | Latency: 0 ms
[13] TEMP = 28.25 | Source: EEPROM @ 1970-01-01 00:03:39.898 | Hit Rate: 100.00% | Latency: 1 ms
